"item_id","item_short","item_full"
"t116","yield-2-capital-norm","Income from capital is real income, it is a rent from an owned resource that is put to use. For example, if a person invests into a company, and that company turns a profit, the investment has earned the person extra resources."
"t117","discretionary-owner","If someone has capital, that also bestows great power. For example the owner of a firm has great power by making production decisions, or hiring and firing people."
"t118","no-tax-corporations","Corporations should not be taxed at all, because they are no moral subjects. Owners, workers or customers of a firm are real people with rights and obligations, but not the firm itself."
"t119","tax-consumption","People should pay taxes on what they take out of the economy, for example, when they buy something and use it so that no one else can use it, or so that it diminishes in value."
"t120","ability-2-pay","People should pay taxes based on their ability to pay. Someone who has a large income or owns a lot of wealth can and should more of the burden."
"t121","uncoerced-exchange","People should not be taxed on income and wealth they have earned in uncoerced exchanges with others. If two people agree on a mutually beneficial deal, they are entitled to its fruits. For example, if someone has a special talent and offers these services to another person, and both are - respectively - richer and happier as a result, then the state should not dimish these gains."
"t122","property-is-theft","Property and income are theft, because this surplus is forcibly extracted from someone else, somewhere else. 'Property' works only if, and to the extent that government maintains it with violence. For example, if someone has earned a lot of money, that person can force other people to work for her."
"t123","did-not-build-this","People can be taxed on income and wealth they have earned, because society has provided the basis for these gains. For example, a person may have developed a new product on public research, transported over public roads, assembled by publicy schooled workers."
"t124","technocratic-unpolitical-tax","Taxation is a matter best left to experts and technocrats. There's not much essentially political at stake. For example, citizens may just democratically decide how much public money they want, and who should contribute how much, and leave the rest to experts."
"t125","tax-political","Taxation is an irreducibly political matter, that citizens must take into their own hands. For example, citizens must decide which basis to tax, and whether they find economic logic appropriate."
"t126","tax-matters-wfs","Much of what we take for granted in the rich world depends on taxes. For example, welfare services like universal health care or unemployment insurance will not work, or work well, without good taxation."
"t127","tax-outmoded","Taxation is an outmoded institution to further the common good. There are better ways to provide public services, or help those in need. For example, volunteer software developers can build great programs, civil society can improve schooling and charity can aid the poor."
"t128","tax-is-problem","Taxation is the problem, not the solution. With fewer taxes, more self-reliance and competition, a lot of the problems taxation is supposed to solve would not exist in the first place. For example, for-profit schools might be more responsive to the needs of all children, and everyone might find it easier to earn a living wage without the tax wedge."
"t129","market-deserved","By and large, people earn on the market what they deserve."
"t130","market-undeserved","What people earn on the market has quite little to do with their efforts."
"t131","markets-impoverished","Markets are a very impoverished way to think about human motivation."
"t132","markets-pragmatism","Markets may not be pretty, but they are our best bet to coordinate our efforts and grow the economy."
"t133","markets-fail","Markets do not work very well."
"t134","deontological-katallaxy","There is something intrinsically good about people freely exchanging goods and services."
"t135","intrinsic-consumption","People mostly buy and consume things because they find them intrinsically satisfying."
"t136","positional-consumption","People often buy and consume things for others to see and admire."
"t137","saving-enough","We are saving enough for our own, and our childrens future. For example, the buildings we build, and the technology we develop will serve us for generations to come."
"t138","not-saving-enough","We are not saving enough for our own, and our childrens' future. For example, we are causing costly global warming and amassing public debt."
"t139","tax-less","Overall, people should be taxed less and left with more resources to spend or invest themselves."
"t140","tax-more","Overall, people should be taxed more and sacrifice more of their own spending and investment."
"t141","tax-income-elastic","People might change their economic behavior, if their income is taxed. They might not try as hard to earn money as they would without an income tax. For example, a worker might cut her hours, or an investor might decide not to fund a risky project."
"t142","tax-income-inelastic","People will not change their behavior much, if their income is taxed. They do the things they do for many reasons, not just for money. For example, a worker might also be concerned about respect from her colleagues, or an investor might enjoy developing a risky project."
"t143","ordoliberal-tax","Taxes should leave markets untouched as far as possible. For example, the relative sizes of industries should not change unless there is a good reason for it."
"t144","industrial-policy-tax","Taxes should serve to steer markets in desirable directions. For example, governments can favor industries it deems important."
"t145","schedule-progressive","Rich people should pay more as a percentage than poorer people. For example, a rich person may pay 45% in taxes, and a poor person 20% of their income."
"t146","schedule-proportional","Everyone should pay the same share in relative terms to their ability. For example, a rich and a poor person should both pay 35% of their income."
"t147","schedule-regressive","Rich people should pay less in percent, but more in absolute terms than poorer people. For example, a rich person may pay 800k as 10% of 8mio in taxes, but that would still be more than her fair share, compared to the 30k as 50% of 60k of a middle earner."
"t148","rich-pay-more-than-fair","Rich people already pay more than their fair share."
"t149","rich-pay-less-than-fair","Rich people currently pay less than their fair share."
"t150","middle-earner-burden","Middle earners currently bear too much of the tax burden."
"t151","middle-earners-never-so-good","Middle earners have never had it so good."
"t152","growth-trumps-equality","Growth is more important than equality."
"t153","equality-trumps-growth","Equality is more important than growth."
"t154","not-destroy-jobs","Taxes should not destroy jobs."
"t155","growth-empty","Growth is an empty concept."
"t156","tax-leisure","People should be taxed on the imputed income from the leisure they enjoy."
"t157","tax-owner-occ-housing","People should be taxed on the imputed income from owner-occupied housing."
"t158","consider-unpaid-work","Taxation should also consider unpaid work that people do. For example, caregivers and homemakers should enjoy special privileges."
"t159","simple-tax","The tax system should be as simple as possible, with no extra tax credits, subsidies or privileges."
"t160","tax-2-complicated","The current tax system is too complicated."
"t161","graduated-rate","Tax obligations should follow a simple, graduated rate."
"t162","no-marriage-penalty","If people take on mutual responsibilities and form a family, their combined taxes should not change."
"t163","marriage-distribution-independence","It should not matter for the combined tax burden how income is distributed between two spouses."
"t164","symbolic-tax","Taxation also serves symbolic purposes."
"t165","consequentialist-taxation","In taxation, only material consequences matter."
"t166","gdp-good-measure","The combined value of all final goods and services is a good measure of our progress."
"t167","people-incentives","People react to incentives."
"t168","positive-sum-destiny","Positive-sum relations are the human destiny. For example, it's good if a group of people is all better off, because they work together."
"t169","epistemological-katallaxy","There is no objectifiable value of an activity, except for the value it has as a final good or service to consumers. For example, we cannot know what the value of some basic research will be to our grandchildren, unless and until we know its commercial applications."
"t170","consumers-know-best","By and large, consumers know best, what is good for them."
